Booking_ID,adults,children,no_of_weekend_nights,no_of_week_nights,type_of_meal_plan,required_car_parking_space,room_type_reserved,lead_time,arrival_year,arrival_month,arrival_date,market_segment_type,repeated_guest,no_of_previous_cancellations,no_of_previous_bookings_not_canceled,avg_price_per_room,no_of_special_requests,booking_status
INN00007,2,0,1,3,Plan 1,0,Type 1,34,2017,10,15,Online,0,0,0,107.55,1,Not_Canceled
INN00011,1,0,1,0,Not Selected,0,Type 1,0,2018,9,11,Online,0,0,0,85.03,0,Not_Canceled
INN00016,2,0,0,2,Plan 2,0,Type 1,256,2018,6,15,Online,0,0,0,115,1,Canceled
INN00017,1,0,1,0,Plan 1,0,Type 1,0,2017,10,5,Offline,0,0,0,96,0,Not_Canceled
INN00020,2,0,1,0,Plan 1,0,Type 1,12,2017,10,4,Offline,0,0,0,72,0,Not_Canceled
INN00023,2,0,2,4,Plan 1,0,Type 1,2,2018,3,20,Offline,0,0,0,85,0,Not_Canceled
INN00029,1,0,1,2,Plan 1,0,Type 1,37,2017,11,6,Online,0,0,0,37.33,0,Canceled
INN00030,2,0,0,2,Plan 2,0,Type 1,56,2017,9,17,Offline,0,0,0,82,0,Not_Canceled
INN00032,2,0,2,2,Plan 1,0,Type 1,107,2018,11,13,Online,0,0,0,87.5,1,Not_Canceled
INN00035,2,0,0,2,Plan 1,0,Type 1,72,2018,10,7,Offline,0,0,0,85.5,0,Not_Canceled
INN00043,3,0,2,1,Plan 1,0,Type 1,96,2018,4,10,Online,0,0,0,121.8,1,Not_Canceled
INN00051,1,0,2,5,Not Selected,0,Type 1,124,2018,5,30,Online,0,0,0,87.95,0,Not_Canceled
INN00054,2,0,0,4,Plan 1,0,Type 4,51,2017,11,11,Offline,0,0,0,60,1,Not_Canceled
INN00055,2,0,1,0,Not Selected,0,Type 1,13,2018,6,13,Online,0,0,0,89,2,Not_Canceled
INN00060,2,0,0,3,Plan 1,0,Type 4,86,2018,4,6,Online,0,0,0,99.3,1,Not_Canceled
INN00064,1,0,0,1,Plan 1,0,Type 1,2,2017,9,10,Complementary,0,0,0,0,1,Not_Canceled
