No,Booking_ID,adult_and_children,no_of_weekend_nights,no_of_week_nights,type_of_meal_plan,required_car_parking_space,room_type_reserved,lead_time,arrival_year,arrival_month,arrival_date,market_segment_type,repeated_guest,no_of_previous_cancellations,no_of_previous_bookings_not_canceled,lead_time(1),avg_price_per_room,no_of_special_requests,booking_status,type_of_meal_plan(1)
1,INN00007,"2,0",1,3,Meal Plan 1,0,Room_Type 1,34,2017,10,15,Online,0,0,0,34,107.55,1,Not_Canceled,Meal Plan 1
2,INN00011,"1,0",1,0,Not Selected,0,Room_Type 1,0,2018,9,11,Online,0,0,0,0,85.03,0,Not_Canceled,Not Selected
3,INN00016,"2,0",0,2,Meal Plan 2,0,Room_Type 1,256,2018,6,15,Online,0,0,0,256,115.0,1,Canceled,Meal Plan 2
4,INN00017,"1,0",1,0,Meal Plan 1,0,Room_Type 1,0,2017,10,5,Offline,0,0,0,0,96.0,0,Not_Canceled,Meal Plan 1
5,INN00020,"2,0",1,0,Meal Plan 1,0,Room_Type 1,12,2017,10,4,Offline,0,0,0,12,72.0,0,Not_Canceled,Meal Plan 1
6,INN00023,"2,0",2,4,Meal Plan 1,0,Room_Type 1,2,2018,3,20,Offline,0,0,0,2,85.0,0,Not_Canceled,Meal Plan 1
7,INN00029,"1,0",1,2,Meal Plan 1,0,Room_Type 1,37,2017,11,6,Online,0,0,0,37,37.33,0,Canceled,Meal Plan 1
8,INN00030,"2,0",0,2,Meal Plan 2,0,Room_Type 1,56,2017,9,17,Offline,0,0,0,56,82.0,0,Not_Canceled,Meal Plan 2
9,INN00032,"2,0",2,2,Meal Plan 1,0,Room_Type 1,107,2018,11,13,Online,0,0,0,107,87.5,1,Not_Canceled,Meal Plan 1
10,INN00035,"2,0",0,2,Meal Plan 1,0,Room_Type 1,72,2018,10,7,Offline,0,0,0,72,85.5,0,Not_Canceled,Meal Plan 1
11,INN00043,"3,0",2,1,Meal Plan 1,0,Room_Type 1,96,2018,4,10,Online,0,0,0,96,121.8,1,Not_Canceled,Meal Plan 1
12,INN00051,"1,0",2,5,Not Selected,0,Room_Type 1,124,2018,5,30,Online,0,0,0,124,87.95,0,Not_Canceled,Not Selected
13,INN00054,"2,0",0,4,Meal Plan 1,0,Room_Type 4,51,2017,11,11,Offline,0,0,0,51,60.0,1,Not_Canceled,Meal Plan 1
14,INN00055,"2,0",1,0,Not Selected,0,Room_Type 1,13,2018,6,13,Online,0,0,0,13,89.0,2,Not_Canceled,Not Selected
15,INN00060,"2,0",0,3,Meal Plan 1,0,Room_Type 4,86,2018,4,6,Online,0,0,0,86,99.3,1,Not_Canceled,Meal Plan 1
16,INN00064,"1,0",0,1,Meal Plan 1,0,Room_Type 1,2,2017,9,10,Complementary,0,0,0,2,0.0,1,Not_Canceled,Meal Plan 1
17,INN00066,"2,0",0,3,Meal Plan 1,0,Room_Type 4,30,2018,10,5,Online,0,0,0,30,157.5,2,Not_Canceled,Meal Plan 1
18,INN00068,"2,0",0,2,Meal Plan 1,0,Room_Type 4,26,2018,4,15,Online,0,0,0,26,142.0,0,Canceled,Meal Plan 1
19,INN00070,"2,0",1,2,Meal Plan 1,0,Room_Type 1,74,2018,4,25,Online,0,0,0,74,85.5,1,Not_Canceled,Meal Plan 1
20,INN00076,"2,0",1,4,Meal Plan 1,0,Room_Type 4,18,2018,3,9,Online,0,0,0,18,116.8,1,Not_Canceled,Meal Plan 1
21,INN00078,"2,0",1,2,Meal Plan 1,0,Room_Type 1,64,2018,6,27,Online,0,0,0,64,111.9,1,Not_Canceled,Meal Plan 1
22,INN00085,"2,0",1,2,Meal Plan 1,1,Room_Type 4,46,2018,3,4,Online,0,0,0,46,98.3,1,Not_Canceled,Meal Plan 1
23,INN00088,"1,0",0,2,Meal Plan 1,0,Room_Type 1,188,2018,6,15,Online,0,0,0,188,130.0,0,Canceled,Meal Plan 1
24,INN00091,"2,0",1,3,Not Selected,0,Room_Type 1,110,2018,5,5,Online,0,0,0,110,101.58,1,Not_Canceled,Not Selected
25,INN00093,"2,0",2,1,Meal Plan 1,0,Room_Type 4,73,2018,4,9,Online,0,0,0,73,115.8,1,Not_Canceled,Meal Plan 1
26,INN00095,"2,0",2,5,Meal Plan 1,0,Room_Type 1,171,2018,8,30,Online,0,0,0,171,111.59,0,Canceled,Meal Plan 1
27,INN00101,"2,0",1,0,Not Selected,0,Room_Type 1,189,2018,10,23,Online,0,0,0,189,85.5,2,Not_Canceled,Not Selected
28,INN00102,"3,0",1,2,Meal Plan 1,0,Room_Type 4,55,2018,5,13,Online,0,0,0,55,159.3,2,Not_Canceled,Meal Plan 1
29,INN00111,"2,0",0,2,Meal Plan 1,0,Room_Type 1,182,2018,9,30,Online,0,0,0,182,117.9,2,Canceled,Meal Plan 1
30,INN00114,"2,0",2,3,Meal Plan 1,0,Room_Type 1,40,2018,6,30,Online,0,0,0,40,117.9,1,Not_Canceled,Meal Plan 1
31,INN00116,"3,0",2,2,Meal Plan 1,1,Room_Type 4,123,2018,8,13,Online,0,0,0,123,155.7,1,Not_Canceled,Meal Plan 1
32,INN00118,"2,1",2,5,Meal Plan 1,0,Room_Type 1,105,2018,11,12,Online,0,0,0,105,102.83,3,Not_Canceled,Meal Plan 1
33,INN00121,"2,0",0,3,Meal Plan 1,0,Room_Type 1,317,2018,9,1,Online,0,0,0,317,106.2,1,Canceled,Meal Plan 1
34,INN00123,"2,0",1,3,Meal Plan 1,0,Room_Type 1,68,2018,3,10,Online,0,0,0,68,73.95,0,Canceled,Meal Plan 1
35,INN00124,"2,0",0,3,Meal Plan 1,0,Room_Type 1,148,2018,5,5,Online,0,0,0,148,105.3,0,Not_Canceled,Meal Plan 1
36,INN00125,"3,0",2,0,Meal Plan 1,0,Room_Type 4,68,2018,4,24,Online,0,0,0,68,133.2,2,Not_Canceled,Meal Plan 1
37,INN00134,"2,0",1,4,Meal Plan 1,0,Room_Type 4,28,2017,10,19,Offline,0,0,0,28,75.0,0,Not_Canceled,Meal Plan 1
38,INN00136,"2,0",0,1,Meal Plan 1,0,Room_Type 4,11,2017,10,9,Online,0,0,0,11,155.0,2,Not_Canceled,Meal Plan 1
39,INN00138,"2,0",2,5,Meal Plan 1,0,Room_Type 1,155,2018,6,28,Online,0,0,0,155,90.95,2,Not_Canceled,Meal Plan 1
40,INN00140,"3,0",2,4,Meal Plan 1,0,Room_Type 4,27,2018,4,15,Online,0,0,0,27,142.72,0,Canceled,Meal Plan 1
41,INN00143,"2,0",0,2,Meal Plan 1,0,Room_Type 1,11,2018,11,18,Online,0,0,0,11,111.0,1,Canceled,Meal Plan 1
42,INN00144,"2,0",2,2,Meal Plan 1,0,Room_Type 1,266,2018,10,30,Online,0,0,0,266,86.7,2,Not_Canceled,Meal Plan 1
43,INN00146,"1,0",0,2,Meal Plan 1,0,Room_Type 1,13,2018,6,1,Complementary,1,3,5,13,0.0,1,Not_Canceled,Meal Plan 1
44,INN00149,"2,0",0,1,Meal Plan 1,0,Room_Type 1,56,2018,6,8,Offline,0,0,0,56,120.0,0,Not_Canceled,Meal Plan 1
45,INN00157,"2,0",0,3,Meal Plan 1,0,Room_Type 4,97,2018,5,24,Online,0,0,0,97,140.4,0,Not_Canceled,Meal Plan 1
46,INN00172,"2,0",1,2,Not Selected,0,Room_Type 1,185,2018,12,16,Online,0,0,0,185,79.2,0,Canceled,Not Selected
47,INN00175,"2,1",0,1,Meal Plan 1,0,Room_Type 1,11,2018,11,5,Online,0,0,0,11,150.0,1,Canceled,Meal Plan 1
48,INN00181,"2,0",0,3,Meal Plan 1,0,Room_Type 1,11,2017,9,9,Online,0,0,0,11,80.85,1,Not_Canceled,Meal Plan 1
49,INN00183,"2,0",0,1,Not Selected,0,Room_Type 1,109,2018,10,11,Online,0,0,0,109,108.0,0,Canceled,Not Selected
50,INN00195,"2,0",4,10,Meal Plan 1,0,Room_Type 4,147,2018,8,3,Online,0,0,0,147,118.88,1,Canceled,Meal Plan 1
51,INN00198,"2,0",2,1,Meal Plan 1,0,Room_Type 1,109,2018,3,20,,0,0,0,109,58.0,0,Not_Canceled,Meal Plan 1
52,INN00199,"2,0",0,4,Meal Plan 1,0,Room_Type 1,127,2018,3,23,,0,0,0,127,61.5,2,Not_Canceled,Meal Plan 1
53,INN00205,"2,0",2,1,,0,Room_Type 1,58,2018,11,19,,0,0,0,58,75.0,1,Not_Canceled,
54,INN00206,"2,0",0,3,,0,Room_Type 1,433,2018,9,8,,0,0,0,433,70.0,0,Canceled,
55,INN00207,"2,0",1,3,,0,Room_Type 1,111,2018,5,2,,0,0,0,111,101.58,1,Not_Canceled,
56,INN00208,"2,0",2,3,,0,Room_Type 1,34,2018,8,21,,0,0,0,34,85.0,0,Not_Canceled,
57,INN00210,"1,0",0,0,,0,Room_Type 1,4,2018,2,27,,0,0,0,4,0.0,1,Not_Canceled,
58,INN00217,"2,0",0,2,Meal Plan 1,0,Room_Type 1,59,2017,10,15,,0,0,0,59,89.25,2,Not_Canceled,Meal Plan 1
59,INN00222,"2,0",0,1,Meal Plan 1,0,Room_Type 1,118,2018,3,1,,0,0,0,118,86.0,0,Not_Canceled,Meal Plan 1
60,INN00223,"2,0",1,5,Meal Plan 1,0,Room_Type 1,56,2018,9,5,,0,0,0,56,118.95,0,Not_Canceled,Meal Plan 1
61,INN00226,"2,0",0,2,Meal Plan 1,0,Room_Type 1,76,2018,4,1,,0,0,0,76,87.3,1,Not_Canceled,Meal Plan 1
62,INN00228,"1,2",2,2,Meal Plan 1,0,Room_Type 6,4,2017,9,19,,0,0,0,4,200.75,2,Not_Canceled,Meal Plan 1
63,INN00230,"1,0",1,2,Meal Plan 1,0,Room_Type 1,32,2018,2,5,,0,0,0,32,72.9,0,Canceled,Meal Plan 1
64,INN00232,"2,1",1,3,Meal Plan 1,0,Room_Type 1,77,2018,5,12,,0,0,0,77,135.15,1,Not_Canceled,Meal Plan 1
65,INN00236,"2,0",2,6,Not Selected,0,,4,2017,8,14,,0,0,0,4,95.13,1,Not_Canceled,Not Selected
66,INN00239,"2,0",2,2,Not Selected,0,,35,2018,12,2,,0,0,0,35,74.8,2,Not_Canceled,Not Selected
